Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,Numeric,,
チャンネル開設日,動画の本数,投稿頻度(年),チャンネル登録者数,最高再生回数,総視聴回数,Instagram,Twitter,TikTok,サブチャン,メンバーシップ,事務所,性別,人数,芸能人,,
43207,71,27.3,750000,4445287,66951497,608000,921727,5000,1,0,0,1,1,0,,
42850,438,122.5,434000,1619897,68836957,601000,413279,441100,0,0,1,1,1,0,,
43860,41,50.9,1160000,6522906,5593732,2810000,91268,5000,0,0,1,1,1,1,,
43629,500,347.6,1110000,3356488,241175218,5000,39763,5000,0,0,1,0,2,1,,
41941,1643,270.9,903000,8753530,487614565,22000,89125,5571,1,0,1,0,2,1,,
42236,812,154.5,1250000,4712579,423529008,361000,315027,212500,1,0,1,1,1,0,,
43790,46,45.2,172000,2480306,17251600,179000,504457,101300,0,0,1,1,1,1,,
43594,164,106.8,692000,7179530,131854487,1310000,10000,284000,0,0,1,1,1,1,,
42735,450,115.7,1150000,13284511,339504249,249000,434478,311500,1,0,1,0,1,0,,
43903,25,36.2,877000,19373037,55861575,9410000,1962094,1000000,1,0,1,1,1,1,,
42310,2012,398,886000,4707306,436151890,98806,87000,16500,1,1,1,0,1,1,,
