動画の長さ,投稿日,再生回数,高評価数,低評価数,コメント数,ハッシュタグ数,コラボ動画,性別,人数,芸能人,動画名,YouTuber,URL
2119,43536,3700164,39000,2579,5180,0,0,1,1,0,顔が1.5倍に腫れた壮絶なダウンタイム全部見せます。【顎骨切り・埋没抜去】,轟ちゃん,https://www.youtube.com/watch?v=vadHAw3Ynzo
598,43692,563917,11000,280,927,0,0,1,1,0,【食べ歩き】鎌倉＆江ノ島 ひとり旅！,美好くん,https://www.youtube.com/watch?v=QuG3xwUjBH4
337,44196,407508,8737,147,463,3,0,1,1,0,【嵐ありがとう】名古屋ストリートピアノで「即興嵐メドレー」弾いてみたらヤバいことに...??【Happiness/A?RA?SHI/OneLove】,はらみちゃん,https://www.youtube.com/watch?v=iBRsh86IfkA
2016,43917,2759017,61000,1103,3655,0,1,0,1,1,夫婦でお互いにメイクしてみたよ?????????,りゅうちぇる,https://www.youtube.com/watch?v=Dras6M2x8rc
523,43587,2532651,34000,846,1575,3,0,2,2,0,【カップル】私たち実は運命的な出会いだったんです…,なこなこチャンネル,https://www.youtube.com/watch?v=HNuiSpu2Rno
824,43758,3554628,74000,762,8992,0,0,1,1,0,【実況】青鬼が10倍速で追いかけてくる『 超高速青鬼 』#1,きよ,https://www.youtube.com/watch?v=YjZCIqCNvqY
1714,44163,888474,16000,569,753,3,1,0,1,1,GACKT VS DaiGo アーティストvsメンタリストのマジババ抜き！,ガクト,https://www.youtube.com/watch?v=JygVfqYqs0k
704,44215,689685,15000,476,643,0,0,0,4,0,韓国メイクの男子にBTSのDynamiteいきなり流したら踊るのか？in新大久保,禁断ボーイズ,https://www.youtube.com/watch?v=AqDRFn7gsjU
387,44201,214822,7361,48,644,3,0,3,1,0,透明なキャットウォークに戸惑う猫！,ねこべや。,https://www.youtube.com/watch?v=ffNrfQUhhzg
664,43961,913169,25000,507,2362,0,0,1,1,0,最新の毎日メイク徹底解説！2020春?,なえなの,https://www.youtube.com/watch?v=bDo_se2DU2g
759,43915,1580405,19000,1682,2421,3,0,1,1,0,【初自宅ルーティン】朝起きてから出かけるまで…,Hinata,https://www.youtube.com/watch?v=Q80IcQCpFio
2401,44210,1383145,17000,1145,2797,0,0,0,1,0,【8㎏】海老が辛くて甘くて美味しいです(語彙力),谷やん,https://www.youtube.com/watch?v=3XKTqO2QHdk
369,43803,946490,13000,311,1687,0,0,0,1,0,一人暮らし大学生のリアルな休日ルーティン【日常vlog】,パーカー／大学生の日常,https://www.youtube.com/watch?v=o1gU-Fjqw4Y
393,44189,270334,7982,78,406,3,0,0,1,0,52歳のお母さんと質問たくさん答えていく??,じんじん,https://www.youtube.com/watch?v=ZRSAylDhvM0
806,44214,420032,13000,295,1037,2,0,1,1,0,皆からのお悩み大解決スペシャル,タナカガ,https://www.youtube.com/watch?v=yBl5dWI3i6g
840,43824,1927503,33000,741,2677,0,1,0,1,0,【サンタさんはいるよ】総額100万円のクリスマスプレゼントを用意しました！！！,テオくんホーム,https://www.youtube.com/watch?v=Nlw_z2RDqqM
916,43664,2612913,60000,1866,5768,0,0,1,1,1,[初公開]メイク部屋全部見せます。,藤田にこる,https://www.youtube.com/watch?v=knfqofmzspA
248,44108,1378426,39000,380,2683,0,1,1,1,0,【@小豆×いりぽん】恋をしよう / Honeyworks 踊ってみた dance,小豆,https://www.youtube.com/watch?v=egVQyr2HbBI
556,43326,6314118,83000,9299,5908,3,0,2,2,0,アポなしでいきなり相方の家に突撃訪問したら寝室に女が…！？,ヴァンゆん,https://www.youtube.com/watch?v=VVuSvTwufUE
952,44116,1457444,34000,682,1765,2,0,0,1,1,久々にコストコ行ったら爆買いしちゃった児嶋だよ！,児島だよ,https://www.youtube.com/watch?v=E6AR7lZDKiY
686,43603,3207478,33000,1001,4867,3,1,1,1,0,【最新】女性トップYouTuber達に聞いた本当に可愛い&イケメンのYouTuberはこの人だ！【運動会裏側】,えっちゃんねる,https://www.youtube.com/watch?v=KIttk7__0mk
383,42952,7763789,66000,6014,4095,0,0,2,2,0,【モニタリング】彼女が突然タトゥーを入れて来たら彼氏はどうなる？【ふくれな】【M君】,えむれな,https://www.youtube.com/watch?v=Os5uJisAc9o
483,42869,3091886,200000,9150,19276,0,0,0,7,0,【大流行】イヤホンガンガン伝言ゲームを全員でやったら大爆笑www,フィッシャーず,https://www.youtube.com/watch?v=911roRxqA5c
1198,44065,660072,9288,423,633,0,0,0,2,0,【大食い】24時間で40000kcal食べ切るチャレンジが過酷すぎた！！,おるたなチャンネル,https://www.youtube.com/watch?v=dAipjzR7E5Y
737,44057,909326,7187,574,207,0,0,0,1,0,釣りよかハウスの裏の水路で怪魚が釣れた！！,釣りよかでしょう。,https://www.youtube.com/watch?v=VUwRj77YHpU
2297,43644,8776845,150000,4989,10433,3,1,0,1,1,【登録者90万人記念】キングコング西野さんが部屋に来てくれました,かじさっく,https://www.youtube.com/watch?v=svsAhn7PdHU&t=77s
837,44053,403491,10000,462,535,0,1,1,1,0,UUUMに入社してマネージャーになります。,ゆきりぬ,https://www.youtube.com/watch?v=wvOew1zL54c&t=16s
372,42887,15084371,210000,7421,12227,0,0,0,2,0,東大生の店員に理系風に注文したら、賢すぎて返り討ちにされました。東大理三恐るべし、、、,はなおでんがん,https://www.youtube.com/watch?v=AMGLJBFkNO4
1290,44189,606842,11000,254,277,3,1,1,1,0,【女子会】付き合いたいユーチューバー難しすぎたwwww【かすたそ】,ほのか,https://www.youtube.com/watch?v=qIU4xHiAL3c
752,44218,53368,2290,51,0,0,0,1,1,0,【2021年初】ゆながファンのみなさんからの質問に答えます！【質問コーナー】,ゆな,https://www.youtube.com/watch?v=0NOKz35HVv8
699,44080,403459,6900,163,491,0,0,1,1,0,ドンキホーテで売られている謎の激安コスメ買ってみたんだが...,コスメオタちゃんねるサラ,https://www.youtube.com/watch?v=J8lu97c6QGA
769,43944,976489,16000,265,775,3,1,1,1,0,じゅっくんにNGなしで100質してみたらヤバすぎた,こなん,https://www.youtube.com/watch?v=9WYZgOO8_hE&t=240s
1005,44181,941749,21000,293,1260,3,0,2,9,0,【ドッキリ】もしもメンバーが危ない薬を飲んでいたらメンバーはどうする！？,フォーエイト,https://www.youtube.com/watch?v=scOTLVba9Ow
740,43963,576993,10000,367,1623,0,0,0,1,0,【激辛】激辛プルダックポックンミョンなんてもう一生食べない。【大食い】,じんだハウス,https://www.youtube.com/watch?v=Tw5hb78j-O4
486,44211,70928,868,12,79,3,0,0,1,1,夜中に見ちゃダメ♪ハンバーググラタン〈市販の惣菜で火も使わずズボラ飯〉,馬場ごはん,https://www.youtube.com/watch?v=dF2-KvRB1uc
645,43894,1938580,34000,484,2116,0,0,0,1,0,かのを狙ってる人と韓国の激辛麺食べてみた【モッパン】,カノックスタ,https://www.youtube.com/watch?v=iGkAd9k-BkY
731,43702,1882423,29000,656,1434,1,0,1,1,1,【握手会の朝】初公開！アイドルの握手会の準備は全部セルフなんです！【The Morning of a Meet and Greet】,吉田あかり,https://www.youtube.com/watch?v=uYwyn8J2-IQ&t=103s
466,43658,1044655,30000,1163,2462,0,0,0,2,0,友達の家に大好きな人の特大ポスターを貼ってみた【ドッキリ】,ヘキトラ,https://www.youtube.com/watch?v=771r5YnkzU0
840,44221,256548,6722,65,508,3,0,1,3,0,【超巨大】10000kcal超えの20段ハンバーガー作ってみた！,クレイジーマグネット,https://www.youtube.com/watch?v=pia3SzhVS7Y
434480,44205,376860,3620,154,119,0,0,0,1,1,【#55】EIKOがデッドバイデイライトを生配信！【ゲーム実況】,狩野英孝,https://www.youtube.com/watch?v=4tjC5YG2q_w
434,44220,686370,24000,184,1704,3,0,1,1,0,【ナイトルーティーン】いい女はこうして作られる。,中町綾,https://www.youtube.com/watch?v=nqos4FhbGkc
534,44178,106112,3300,34,229,0,0,1,1,0,ウチらは1人じゃないし生きる価値って意外と単純だよね,大関れいか,https://www.youtube.com/watch?v=ckcAHKQ0zEM
632,43846,181948,1865,1625,197,0,0,1,1,0,さ?て、先週のあやちゃんは?？,かねこあや,https://www.youtube.com/watch?v=NhL7X6ICL08
687,43328,6165579,130000,2627,8429,0,0,1,1,0,【完全版】至近距離でも！私の３年間バレなかったアイプチのやり方！悩んでる人、食い込まない人必見！アイメイクにも響かない！【おすすめのアイプチ】,nanako,https://www.youtube.com/watch?v=R8WXZUVxa5U
348,44200,307858,5621,472,302,0,0,1,1,0,カバンの中身を抜き打ちチェックしたらヤバすぎたフワちゃん,フワちゃん,https://www.youtube.com/watch?v=lyt_IJtkpIc
613,43349,807040,10000,244,634,0,1,1,1,0,みっき～さんにメイクしてもらいました。ONE-SHOT,佐藤ノア,https://www.youtube.com/watch?v=wvX-1Z9aVe8&t=187s
499,44213,467634,8934,137,812,3,0,1,1,1,人生初のバッセンでまさかの出来事が！ 調子に乗りすぎました…,川口春奈,https://www.youtube.com/watch?v=eUc2Cx9dK1I
989,43864,3362889,27000,1081,1712,3,0,0,2,1,【突撃】せいや宅押しかけたら何の料理ふるまってくれるのか？【霜降り明星】,霜降り,https://www.youtube.com/watch?v=2cHoJwVYj6I
487,43873,2183658,33000,563,3845,0,0,0,2,1,『明るいけど、ほんまは暗い奴』ジャルジャルのネタのタネ【JARUJARUTOWER】,ジャルジャル,https://www.youtube.com/watch?v=HaAg4xwdaOM
603,43967,496226,12000,261,1172,0,0,1,1,0,【量産型メイク】さぁやがもしも地雷系女子だったら・・・,さぁや,https://www.youtube.com/watch?v=L2w3MMlrh4g
760,44038,355124,4113,160,567,2,0,1,1,1,【2日で?3kg！？】歌番組出演が近いのでツイッターで話題のめかぶ納豆ダイエットしました【もぐもぐ】,峯岸みなみ,https://www.youtube.com/watch?v=YXng-HfpIdY
1140,44169,290545,4250,212,210,0,0,1,1,1,【脱！部屋着】冬ファッションコーデ組んでみた！【ネイルも合わせちゃうよ！】,辻ちゃんねる,https://www.youtube.com/watch?v=x8d57rDbbyk
660,44177,540592,4293,3946,2368,0,0,0,1,0,よきき、顔にタトゥー入れたよ??可愛いくない？,よきき,https://www.youtube.com/watch?v=PmfKadpf2f8
248,44037,19431641,720000,15000,38499,0,0,1,1,1,Lady Gaga “Rain On Me with Ariana Grande” Official Parody,渡辺直美,https://www.youtube.com/watch?v=psSdawz69kc
510,44016,965993,7114,404,591,3,1,0,1,0,【西山茉希】モデルも二郎すすりたい！ガッツリ豚盛りの二郎系をすする らーめん陸【飯テロ】SUSURU TV.第1703回,すする,https://www.youtube.com/watch?v=BjvhygJtmfo
