動画の長さ,投稿日,再生回数,高評価数,低評価数,コメント数,ハッシュタグ数,コラボ動画,性別,人数,芸能人,動画名,YouTuber,URL
1303,43903,1128177,27000,233,1582,3,0,0,2,0,アメリカのディズニーで1万円使いきらなくても帰ります！！,みきおだ,https://www.youtube.com/watch?v=mUyvVUjfQ2E
510,44155,133449,2355,36,70,0,0,2,3,0,いつもの古川メイクを完成させろ！！,さんこいち,https://www.youtube.com/watch?v=HzpBNJo_B4k&list=LL&index=6
464,44142,748723,21000,293,1412,3,0,2,2,0,体重3桁のデブとTWICE「I CAN'T STOP ME」30分で覚えて踊ってみたww,パパラピーズ,https://www.youtube.com/watch?v=i5GELiftSuE&list=LL&index=32
510,44083,1024686,23000,781,2460,0,0,1,1,0,ダイエット中だけどスタバで食べ放題＆飲み放題?♪,エミリン,https://www.youtube.com/watch?v=imNsrJwQuXc
363,42906,14491714,120000,6444,8760,0,0,1,1,0,【激変】あのスッピンブスがとうとうメイク動画投稿するってよ！！【一重から二重】,まあたそ,https://www.youtube.com/watch?v=X-GgGlDL7gg&t=171s
619,44106,1000798,28000,322,1303,0,1,0,1,0,【みきおだコラボ】リスナーからの質問にガチで全部答えます！！,ジュキヤ ,https://www.youtube.com/watch?v=9oZa2KjlyEM&t=296s
605,43575,2900457,38000,670,2089,0,1,0,1,0,皆さんにお伝えしたい事があります。,せりしゅん,https://www.youtube.com/watch?v=oxdcJRIGYsU&t=236s
166,43414,298366,6010,73,648,0,1,1,1,0,上海いってきた前編?超キレイ版?,古川優香,https://youtu.be/3s2jR1ZT4zE
210,43694,2057009,33000,310,2374,1,1,0,1,0,【Hand clap】2週間で10キロ痩せるダンス/HandClap by Fitz and the Tantrums,やっぴ,https://www.youtube.com/watch?v=n2SmJtXPLtQ&t=83s
620,43432,581556,10000,122,783,0,1,0,1,0,ひとほわでユニバ行ったら楽しすぎたwwwwww,ほりえりく,https://www.youtube.com/watch?v=Sc-0bo1Pn0M
884,44059,1646018,29000,356,831,3,1,1,1,0,【整形級】進化したまあたそに毎日メイクやってもらったら顔おかしくなったwww【まあたそ】【ふくれな】,ふくれな,https://www.youtube.com/watch?v=Y1hwgQiVh1E
749,44144,2224546,36000,1449,2006,1,1,0,1,0,手越くんに牛牛奢ろうとしたら見事に返り討ちされてスター魅せつけられた…,ヒカル,https://www.youtube.com/watch?v=vGZS11w7OLI
1117,43280,5457650,56000,5028,9542,0,1,0,1,0,【女王集結】女性YouTuberたちと飲みながら本音トークしてみたら爆笑www,HikakinTV,https://www.youtube.com/watch?v=2R9_bkcWNd4
1753,43866,10815759,50000,5469,2009,3,1,0,1,0,【世界初】ヒカキン & セイキン、真冬のランボルギーニ車中泊。【ランボルギーニ アヴェンタドール S】,SeikinTV,https://www.youtube.com/watch?v=4AIgVE8xv8o
440,43767,664344,7891,136,415,0,0,1,3,0,【すぐ真似できる】ハロウィンメイク,ヘラヘラ三銃士,https://www.youtube.com/watch?v=nLlsuemC8hQ
534,44135,2880558,100000,5597,5421,3,0,0,1,1,【鬼滅の刃】炎／紅蓮華 仮装して歌ってみた！【Demon Slayer:Kimetsu no Yaiba】,手越祐也,https://www.youtube.com/watch?v=jqrm3jcfMuw&list=LL&index=52
687,43921,5325365,130000,2201,7975,2,1,0,1,1,「TAKERU NO PLAN DRIVE」#1,佐藤健,https://youtu.be/1hM8rarOz3g
403,43953,1267639,35000,365,2040,3,0,0,5,0,【対決】Mrs.GREEN APPLEマッシュアップメドレー ?Mrs.GREEN APPLE Mash Up Medley Battle?,シズクノメ,https://youtu.be/4pkoGfS5HIs
661,44129,656438,16000,275,588,0,0,1,1,0,Francfranc】女子憧れ家具を爆買いしたら総額〇〇万超えした,かす,https://www.youtube.com/watch?v=VvNy7sEWg9Q
496,44151,443608,8961,130,606,2,0,1,1,0,【GU】売り切れ続出！どうしても欲しかった新作を紹介！,ねお,https://www.youtube.com/watch?v=b_MmXUIBbgE&t=104s
697,44215,309094,6701,379,301,3,0,1,1,0,【大食い】バター1箱まるごと使ったペッパーライスを食べる！熱々ぺッパーランチ風に挑戦したら美味しすぎ！追いチーズ最高！[三ツ矢 メロン]4.5kg [7人前]10000kcal【木下ゆうか】,木下ゆうか,https://www.youtube.com/watch?v=R5qYcaPU6NM
758,43943,3260914,67000,1260,3343,2,0,1,1,1,ふっつーのメイク動画???????????,仲里依紗,https://www.youtube.com/watch?v=LdFTS6anfSg&t=597s
178,43729,9041608,230000,4356,25553,0,0,1,1,1,10月22日と近況,ほんだのばいく,https://www.youtube.com/watch?v=6oYhz4OUVvc
820,44066,4025654,140000,1929,18675,3,0,1,1,1,【初投稿】白石麻衣、３年ぶりの本気スイングです。#1,my channel,https://www.youtube.com/watch?v=DsYdPQ1igvM
875,44146,427787,7101,271,356,3,0,1,1,0,絶対失敗しない！2020冬アウター徹底解説?? 今買うべき厳選8点！自信100%の推しアウターです…??,ももちのクセが強すぎた。,https://www.youtube.com/watch?v=-buGlbDFZrg
787,43074,7243639,53000,3385,3652,0,0,1,1,0,後26分で家出るって冗談でしょう。?パッキングメイクヘア?,関根りさ,https://www.youtube.com/watch?v=9s0u7cPvaTk&t=638s
1461,44165,595454,8628,245,658,0,0,1,1,0,【GRWM】今日は絶対盛りたい！って日のメイク【大号泣してブチ切れた話】,かわにしみき,https://www.youtube.com/watch?v=Gm76jSNWBSI
1932,44218,567515,10000,665,477,0,1,1,1,0,大企業の秘書したら人気俳優が来た,てんちむCH,https://www.youtube.com/watch?v=wSpjArPlxhc
716,42835,4260183,100000,3200,9790,0,0,0,1,0,クラス替え最悪、泣いた。, kemio,https://youtu.be/1UC-en6UjV4
427,43022,3593411,41000,1856,1690,0,1,1,1,0,岡山が産んだ奇跡のブサイク！まあたそにハーフメイクした結果…l アイプチせず一重からデカ目メイク【CHANGE-MAKEUP BY MARILYN #05】,マリリン,https://www.youtube.com/watch?v=oNn3QKV_WqM
612,43863,1812022,24000,384,888,0,1,0,1,0,UberEatsで好きなもの頼んでダラダラお話ししよ！,サグワダイアリー,https://www.youtube.com/watch?v=WfpeKUfoaf0
384,43015,1239174,8971,2820,1503,0,0,1,1,0,【裸眼・一重】毎日メイク！！everyday makeup,そわんわん,https://www.youtube.com/watch?v=EFTd8ijN_II
445,43164,14231315,200000,7453,10932,2,0,0,2,0,相方が逮捕されたドッキリがヤバい展開になったww,水溜りボンド,https://www.youtube.com/watch?v=et64z0bA1GQ
750,44196,104129,3358,33,196,3,0,0,1,1,神木、Twitterでの質問に答えます！【前半戦】,神木隆之介,https://www.youtube.com/watch?v=-30wD1C5hxQ
759,44017,1347423,31000,889,1184,0,0,1,1,0,【大学デビュー】垢抜ける為にした４つの事語ります?,ゆうこすモテチャンネル,https://www.youtube.com/watch?v=aqCKxB-nga8&t=3s
1000,44122,3180206,38000,1583,4059,0,0,0,1,0,10000尾に一匹。とんでもない『天然のサーモン』を買ってしまいました。,気まぐれクック,https://www.youtube.com/watch?v=u03_oj5z3wo
764,43948,502257,9495,323,760,3,0,1,1,1,のんのんのナイトルーティーン【Popteenモデル】,かのんのんtv,https://www.youtube.com/watch?v=iffd4pg8gJw
183,42196,123335360,360000,91000,33258,0,0,0,1,0,世界最大級のグミを1人で食う！（多分）,はじめしゃちょー,https://www.youtube.com/watch?v=uJwa7y6Q6Sw
33,44174,1154500,37000,325,1272,1,0,0,1,0,日本語が適当すぎて不安になる海外エアラインの機内アナウンス,わっきゃい,https://www.youtube.com/watch?v=SRYJBF_S7h0
1304,44113,685002,11000,142,913,3,1,0,1,1,ガンバレルーヤに感謝のお肉！！ウルフギャング【Uber Eats】,藤森慎吾,https://www.youtube.com/watch?v=fVzMR2uqqVY
810,43881,1051914,21000,802,1382,0,0,2,2,0,"ツボが浅すぎる嫁を""笑わせなければ""賞金１００万！？逆イロモネアにしばゆー挑戦www",しばなん,https://www.youtube.com/watch?v=4FWRkHb4swM
399,1958083,43913,65000,419,6438,0,1,0,3,0,卒業生へ、卒業式が出来なかった人へ。【スカイピース】【EXIT】【桐崎栄二】【まあたそ】【ジュキヤ】,ノンラビ,https://www.youtube.com/watch?v=cFilcrm39dc
1059,44141,1549179,28000,529,1379,3,0,1,1,1,【涙サプライズ】ファンの方同士の結婚式に黙って凸ってきたよ♪【感動ドッキリ】,友チューブ,https://www.youtube.com/watch?v=tgqG2gwFkBI
172,44077,530002,15000,209,1071,0,1,1,1,0,【踊ってみた】Booo! ? 轟ちゃん せりしゅん チハヤくん きぬ ?,きぬチャンネル,https://www.youtube.com/watch?v=E0Lp-7bKkwk
241,43795,9518025,200000,1442,11631,0,1,0,2,0,テオくんの誕生日ラップのライブバージョンwwwwwwww,スカイピース,https://www.youtube.com/watch?v=A0OrOYhKx4U
