Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Objective,Objective,Objective,Objective,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category
Y-Date,Y-NumMovie,Y-NumFan,Y-MaxPlay,Y-Instagram,Y-Twitter,Y-TikTok,Y-Frequency,Y-TotalPlay,M-Length,M-Date,M-NumPlay,M-HighEval,M-LowEval,M-Comments,M-HashTags,M-Colab,Y-SubChannel,Y-Member,Y-Office,Y-Gender,Y-NumPerson,Y-Professional,Y-Name,M-name,M-URL
42447,1558,4210000,44820817,385000,1208010,300500,333.5,3117435955,591,42828,44847553,820000,85000,22306,0,0,1,0,0,0,1,0,ヒカル,当たりはなかった？祭りくじで悪事を働く一部始終をban覚悟で完全公開します,https://www.youtube.com/watch?v=30roBDlCA7k
42447,1558,4210000,44820817,385000,1208010,300500,333.5,3117435955,2184,43682,8505624,80000,6361,6046,3,1,1,0,0,0,1,0,ヒカル,DJふぉいがメンバーの秘密暴露するたび1万円？レペゼン地球の問題児は仲間を売って悪魔のように楽しんでました…,https://www.youtube.com/watch?v=nG9hhPKk47k
42314,169,824000,3850108,5000,105656,5000,34.4,137487281,1737,43597,2683394,31000,925,2778,3,1,1,0,1,0,2,0,みきおだ,【ディズニー】ディズニーランドで１万円使い切るまで帰れまてん！！,https://www.youtube.com/watch?v=rG4KXiSuVJ8&t=50s
42786,464,1380000,4189519,5000,86865,214000,128.0,389017994,760,43289,1981953,19000,462,638,3,0,0,0,1,2,2,0,パパラピーズ,【ディズニー】夢の国で1万円分食べれるまで帰れま１０,https://www.youtube.com/watch?v=3y7ra3Y7QbE&t=617s
42464,1175,2230000,12652368,179000,241397,296000,253.0,1221457454,556,43326,6314118,83000,9299,5908,3,0,1,0,1,3,2,0,ヴァンゆん,アポなしでいきなり相方の家に突撃訪問したら寝室に女が…！？,https://www.youtube.com/watch?v=VVuSvTwufUE
41145,2226,6530000,36847824,407000,1267948,5000,270.0,10689065137,2561,43841,21538163,260000,12000,39280,3,1,1,0,1,0,7,0,フィッシャーず,【１００分間】日本の王者たちvsシルクロードで本気の鬼ごっこした結果！？【フィッシャーズ】,https://www.youtube.com/watch?v=72q4xvCZ8-g
42314,169,824000,3850108,5000,105656,5000,34.4,137487281,395,43054,1590782,19000,610,756,0,0,1,0,1,0,2,0,みきおだ,【メンズ】いつもの前髪を下ろしたヘアセット,https://www.youtube.com/watch?v=7XpM5qQVkCI
42609,255,1060000,12592528,499000,435792,338300,60.3,228926384,173,43740,12647421,130000,3086,5394,2,1,1,0,0,1,1,0,かす,【男女4人】Booo! 踊ってみた 【青春☆しゅわしゅわクラブ】,https://www.youtube.com/watch?v=xg5SYjm7UUs
41145,2226,6530000,36847824,407000,1267948,5000,270.0,10689065137,444,44046,1199275,180000,14000,21584,3,0,1,0,1,0,7,0,フィッシャーず,フィッシャーズが「夜に駆ける」を原キーで歌ったら大爆笑して泣いた【THE FIRST TAKE】,https://www.youtube.com/watch?v=31OI-Ur_KvU&t=79s
41918,2197,4340000,14225931,5000,10000,5000,358.0,3416937984,445,43164,14231315,200000,7453,10932,2,0,1,1,1,0,2,0,水溜りボンド,相方が逮捕されたドッキリがヤバい展開になったww,https://www.youtube.com/watch?v=et64z0bA1GQ
43649,83,658000,2674413,637000,284454,2000000,59.1,55853191,664,43961,913169,25000,507,2362,0,0,0,0,1,1,1,0,なえなの,最新の毎日メイク徹底解説！2020春?,https://www.youtube.com/watch?v=bDo_se2DU2g
41450,93,1870000,14400303,718000,547142,1200000,12.7,317159642,363,42906,14491714,120000,6444,8760,0,0,1,0,0,1,1,0,まあたそ,【激変】あのスッピンブスがとうとうメイク動画投稿するってよ！！【一重から二重】,https://www.youtube.com/watch?v=X-GgGlDL7gg&t=171s
42372,497,1730000,8267068,5000,196653,473200,101.7,769269454,383,42952,7763789,66000,6014,4095,0,0,1,0,1,3,2,0,えむれな,【モニタリング】彼女が突然タトゥーを入れて来たら彼氏はどうなる？【ふくれな】【M君】,https://www.youtube.com/watch?v=Os5uJisAc9o
42723,275,190000,1458010,113000,81537,201300,70.1,26870365,769,43944,976489,16000,265,775,3,1,0,0,1,1,1,0,こなん,じゅっくんにNGなしで100質してみたらヤバすぎた,https://www.youtube.com/watch?v=9WYZgOO8_hE&t=240s
43262,145,231000,2885510,163000,83549,544900,59.8,26096475,300,43812,419947,8502,84,264,0,1,1,0,1,0,1,0,せりしゅん,話題のゲームしてただけなのに…,https://www.youtube.com/watch?v=N2qO2sNkxkQ
42982,245,852000,6460675,96000,69983,87200,76.4,256376897,440,43767,664344,7891,136,415,0,0,0,0,1,1,3,0,ヘラヘラ三銃士,【すぐ真似できる】ハロウィンメイク,https://www.youtube.com/watch?v=nLlsuemC8hQ
42314,169,824000,3850108,5000,105656,5000,34.4,137487281,1415,44155,717442,31000,489,2865,3,1,1,0,1,0,2,0,みきおだ,【ガチ本物】相方の誕生日にヒカキンさんプレゼントしてみた！！,https://www.youtube.com/watch?v=M91-Jchk8CE&t=95s
42765,776,564000,3111978,242000,115550,37800,204.0,214089244,384,43015,1239174,8971,2820,1503,0,0,0,0,1,1,1,0,そわんわん,【裸眼・一重】毎日メイク！！everyday makeup,https://www.youtube.com/watch?v=EFTd8ijN_II
43320,79,175000,562889,249000,84285,76900,34.6,10332775,598,43692,563917,11000,280,927,0,0,0,0,0,1,1,0,美好くん,【食べ歩き】鎌倉＆江ノ島 ひとり旅！,https://www.youtube.com/watch?v=QuG3xwUjBH4
40966,1171,1390000,7232737,406000,352420,5000,134.1,558878502,787,43074,7243639,53000,3385,3652,0,0,1,0,0,1,1,0,関根りさ,後26分で家出るって冗談でしょう。?パッキングメイクヘア?,https://www.youtube.com/watch?v=9s0u7cPvaTk&t=638s
