Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Explain,Objective,Objective,Objective,Objective,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category,Category
Y-Date,Y-NumMovie,Y-NumFan,Y-MaxPlay,Y-Instagram,Y-Twitter,Y-TikTok,Y-Frequency,Y-TotalPlay,M-Length,M-Date,M-NumPlay,M-HighEval,M-LowEval,M-Comments,M-HashTags,M-Colab,Y-SubChannel,Y-Member,Y-Office,Y-Gender,Y-NumPerson,Y-Professional,Y-Name,M-name,M-URL
43346,14,2170000,9034888,3010000,10000,5000,6.3,60961638,178,43729,9041608,230000,4356,25553,0,0,0,0,1,1,1,1,ほんだのばいく,10月22日と近況,https://www.youtube.com/watch?v=6oYhz4OUVvc
44048,18,1180000,5163360,575000,124498,5000,63.1,32791728,820,44066,4025654,140000,1929,18675,3,0,0,0,1,1,1,1,my channel,【初投稿】白石麻衣、３年ぶりの本気スイングです。#1,https://www.youtube.com/watch?v=DsYdPQ1igvM
42640,196,338000,1520079,158000,35298,5000,47,48555717,875,44146,427787,7101,271,356,3,0,0,0,1,1,1,0,ももちのクセが強すぎた。,絶対失敗しない！2020冬アウター徹底解説?? 今買うべき厳選8点！自信100%の推しアウターです…??,https://www.youtube.com/watch?v=-buGlbDFZrg
40966,1171,1390000,7232737,406000,352420,5000,134.1,558878502,787,43074,7243639,53000,3385,3652,0,0,1,0,0,1,1,0,関根りさ,後26分で家出るって冗談でしょう。?パッキングメイクヘア?,https://www.youtube.com/watch?v=9s0u7cPvaTk&t=638s
42864,434,1090000,7522587,408000,422620,117400,122.9,234144359,1461,44165,595454,8628,245,658,0,0,1,0,1,1,1,0,かわにしみき,【GRWM】今日は絶対盛りたい！って日のメイク【大号泣してブチ切れた話】,https://www.youtube.com/watch?v=Gm76jSNWBSI
42617,974,1490000,7479212,569000,583203,82100,231.6,507233533,1932,44218,567515,10000,665,477,0,1,1,0,0,1,1,0,てんちむCH,大企業の秘書したら人気俳優が来た,https://www.youtube.com/watch?v=wSpjArPlxhc
42082,752,833000,3589322,124000,90248,119200,132.5,261732206,427,43022,3593411,41000,1856,1690,0,1,0,0,0,1,1,0,マリリン,岡山が産んだ奇跡のブサイク！まあたそにハーフメイクした結果…l アイプチせず一重からデカ目メイク【CHANGE-MAKEUP BY MARILYN #05】,https://www.youtube.com/watch?v=oNn3QKV_WqM
40833,626,602000,5327622,136000,401956,20400,68.8,141765225,612,43863,1812022,24000,384,888,0,1,1,0,0,0,1,0,サグワダイアリー,UberEatsで好きなもの頼んでダラダラお話ししよ！,https://www.youtube.com/watch?v=WfpeKUfoaf0
42765,776,564000,3111978,242000,115550,37800,204,214089244,384,43015,1239174,8971,2820,1503,0,0,0,0,1,1,1,0,そわんわん,【裸眼・一重】毎日メイク！！everyday makeup,https://www.youtube.com/watch?v=EFTd8ijN_II
41918,2197,4340000,14225931,5000,10000,5000,358,3416937984,445,43164,14231315,200000,7453,10932,2,0,1,1,1,0,2,0,水溜りボンド,相方が逮捕されたドッキリがヤバい展開になったww,https://www.youtube.com/watch?v=et64z0bA1GQ
